prompt,label,technique,secondary_technique,complexity,model_target,source,platform_context,prompt_length_bucket,ambiguity_flag,language_style,dataset_version
i want to learn rag,planning,least-to-most,tree-of-thoughts,simple,standard,generated,gemini,short,0,formal,v1
how do i get started with machine learning,planning,least-to-most,tree-of-thoughts,simple,standard,generated,gemini,short,0,formal,v1
i want to understand how transformers work,planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,formal,v1
teach me react from scratch,planning,least-to-most,tree-of-thoughts,simple,standard,generated,gemini,short,0,formal,v1
i want to learn prompt engineering,planning,least-to-most,tree-of-thoughts,simple,standard,generated,gemini,short,0,formal,v1
how do i become a data scientist,planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,formal,v1
i want to get into web3 development,planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
explain docker to me i am a beginner,planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
i want to master python,planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
how do i learn to build chrome extensions,planning,least-to-most,tree-of-thoughts,simple,standard,generated,gemini,short,0,formal,v1
kindly explain what are the steps to learn java from basic to advanced level,planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,indian_english,v1
can you please give me a proper roadmap to get into cyber security as a beginner,planning,least-to-most,tree-of-thoughts,medium,standard,generated,claude,medium,0,casual,v1
i want to know how to start learning stock market trading in india,planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,indian_english,v1
please guide me how do i learn node js backend development from home,planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,formal,v1
kindly share a study plan to master data structures and algorithms in 3 months,planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,casual,v1
how do i start learning ethical hacking from scratch can you please suggest,planning,least-to-most,tree-of-thoughts,simple,standard,generated,gemini,short,0,casual,v1
please tell me the syllabus i need to study to become a cloud engineer,planning,least-to-most,tree-of-thoughts,simple,standard,generated,gemini,short,0,formal,v1
"kindly help me how to learn english speaking fluently, make a weekly schedule",planning,least-to-most,tree-of-thoughts,simple,standard,generated,chatgpt,short,0,casual,v1
i want to know the best way to get started with learning deep learning,planning,least-to-most,tree-of-thoughts,simple,standard,generated,gemini,short,0,indian_english,v1
please explain the path to become a full stack developer for a non tech person,planning,least-to-most,tree-of-thoughts,simple,standard,generated,claude,short,0,formal,v1
